stretched-link href,w-100 src,location,detail,col-12,detail (2),detail (3),col-auto,col-auto (2),col-auto (3)
https://www.cabovillas.com/properties.asp?PID=349,https://www.cabovillas.com/Properties/Villas/Villa_Marlin/FULL/Villa_Marlin-1.jpg?width=486,"LA PAZ, OCEANFRONT, BEACHFRONT",Villa Marlin,One-of-a-Kind Beachfront Paradise at Bahia De...,5-Star Luxury Villa,,6,7.5,18
https://www.cabovillas.com/properties.asp?PID=582,https://www.cabovillas.com/Properties/Villas/Maison_de_Cortes/FULL/Maison_de_Cortes-1.jpg?width=486,CABO SAN LUCAS,Maison de Cortes,Exceptional Luxury & Modern Sophistication,6+ -Star Platinum Villa,+,7,8+,16
https://www.cabovillas.com/properties.asp?PID=564,https://www.cabovillas.com/Properties/Villas/Casa_Mirador/FULL/Casa_Mirador-1.jpg?width=486,"CABO SAN LUCAS, OCEANFRONT",Casa Mirador,Panoramic Ocean Views from this Luxury Hillsi...,5.5-Star Luxury Villa,,6,6.5,12
https://www.cabovillas.com/properties.asp?PID=658,https://www.cabovillas.com/Properties/Villas/Casa_Elije/FULL/Casa_Elije-1.jpg?width=486,CORRIDOR,Casa Elije,Stunning Palmilla Luxury Escape with Full Sta...,6+ -Star Platinum Villa,+,10,13,20
https://www.cabovillas.com/properties.asp?PID=661,https://www.cabovillas.com/Properties/Villas/Villa_Marisal/FULL/Villa_Marisal-1.jpg?width=486,CABO SAN LUCAS,Villa Marisal,"Stunning, Spacious Pedregal Luxury Retreat",6+ -Star Platinum Villa,+,9,11,18
https://www.cabovillas.com/properties.asp?PID=633,https://www.cabovillas.com/Properties/Villas/Villa_Zafiro/FULL/Villa_Zafiro-1.jpg?width=486,"OCEANFRONT, EAST CAPE, BEACHFRONT, CABO PULMO",Villa Zafiro,Beachfront Tranquility & All-Inclusive Villa ...,6-Star Premier Villa,,5,5.5,10
https://www.cabovillas.com/properties.asp?PID=15,https://www.cabovillas.com/Properties/Villas/Villa_Bougainvillea/FULL/Villa_Bougainvillea-1.jpg?width=486,CABO SAN LUCAS,Villa Bougainvillea,Lovely Cabo Villa with Views of the Ocean & B...,4.5-Star Deluxe Villa,,4,4.5,8
https://www.cabovillas.com/properties.asp?PID=585,https://www.cabovillas.com/Properties/Villas/Casa_Manana/FULL/Casa_Manana-1.jpg?width=486,"CORRIDOR, BEACHFRONT",Casa Mañana,Spectacular Palmilla Luxury Beachfront Villa,6-Star Premier Villa,,5,5.5,12
https://www.cabovillas.com/properties.asp?PID=246,https://www.cabovillas.com/Properties/Villas/Rancho_de_Costa/FULL/Rancho_de_Costa-1.jpg?width=486,"LA PAZ, OCEANFRONT, BEACHFRONT",Rancho de Costa,One-of-a-Kind Beachfront Estate on the Bay of...,5-Star Luxury Villa,,10,11.5,28
https://www.cabovillas.com/properties.asp?PID=383,https://www.cabovillas.com/Properties/Villas/Villa_Estero/FULL/Villa_Estero-1.jpg?width=486,"SAN JOSÉ DEL CABO, OCEANFRONT, BEACHFRONT",Villa Estero,Breathtaking Beachfront Estate with Sea of Co...,6+ -Star Platinum Villa,+,5,5.5,10
https://www.cabovillas.com/properties.asp?PID=305,https://www.cabovillas.com/Properties/Villas/Giggling_Marlin_Penthouse/FULL/Giggling_Marlin_Penthouse-1.jpg?width=486,CABO SAN LUCAS,Giggling Marlin Penthouse,"Steps from Dining, Nightlife, Beach & World C...",3.5-Star Value Villa,,3,3,8
https://www.cabovillas.com/properties.asp?PID=547,https://www.cabovillas.com/Properties/Villas/Villa_La_Finca_Tezal/FULL/Villa_La_Finca_Tezal-1.jpg?width=486,CABO SAN LUCAS,Villa La Finca Tezal,One-of-a-Kind Private Estate in a Tranquil Se...,4-Star Deluxe Villa,,5,5.5,16
https://www.cabovillas.com/properties.asp?PID=589,https://www.cabovillas.com/Properties/Villas/The_White_Lodge/FULL/The_White_Lodge-1.jpg?width=486,EAST CAPE,The White Lodge,Eco-luxury retreat situated in the tranquil E...,5-Star Luxury Villa,,10,9,24
https://www.cabovillas.com/properties.asp?PID=350,https://www.cabovillas.com/Properties/Villas/Villa_Langosta/FULL/Villa_Langosta-1.jpg?width=486,"LA PAZ, OCEANFRONT, BEACHFRONT",Villa Langosta,Tranquil Retreat on the Beautiful Bay of Drea...,5-Star Luxury Villa,,4,5,10
https://www.cabovillas.com/properties.asp?PID=1,https://www.cabovillas.com/Properties/Villas/Mantea_Casa_Cabo/FULL/Mantea_Casa_Cabo-1.jpg?width=486,"CABO SAN LUCAS, OCEANFRONT",Mantea Casa Cabo,Spectacular Modern Luxury and Exceptional Ame...,6+ -Star Platinum Villa,+,8,10+,16
https://www.cabovillas.com/properties.asp?PID=569,https://www.cabovillas.com/Properties/Villas/Casa_Edwards_Too/FULL/Casa_Edwards_Too-1.jpg?width=486,"CORRIDOR, OCEANFRONT, BEACHFRONT",Casa Edwards Too,Exceptional Modern Beachfront Estate,5.5-Star Luxury Villa,,5,5.5,12
https://www.cabovillas.com/properties.asp?PID=670,https://www.cabovillas.com/Properties/Villas/Villa_Esperanza/FULL/Villa_Esperanza-1.jpg?width=486,CORRIDOR,Villa Esperanza,A Luxurious Escape in Palmilla Caleta,5.5-Star Luxury Villa,,6,6.5,14
https://www.cabovillas.com/properties.asp?PID=570,https://www.cabovillas.com/Properties/Villas/Casa_Edwards/FULL/Casa_Edwards-1.jpg?width=486,"CORRIDOR, OCEANFRONT, BEACHFRONT",Casa Edwards,Timeless Architecture and Spectacular Views i...,6+ -Star Platinum Villa,+,8,8.5,16
https://www.cabovillas.com/properties.asp?PID=643,https://www.cabovillas.com/Properties/Villas/Villa_Esquina/FULL/Villa_Esquina-1.jpg?width=486,CORRIDOR,Villa Esquina,Ocean & Golf Views at Cabo del Sol,5-Star Luxury Villa,,5,5.5,10
https://www.cabovillas.com/properties.asp?PID=123,,CABO SAN LUCAS,Villa Clara Vista,Magnificent Mediterranean Style Villa with Oc...,5-Star Luxury Villa,,6,5+,16
https://www.cabovillas.com/properties.asp?PID=598,,CABO SAN LUCAS,Montemar Luxury Hotel Residences at Pedregal Unit 503,Luxury and Views in an Excellent Cabo Locatio...,4-Star Deluxe Villa,,2,2,6
https://www.cabovillas.com/properties.asp?PID=520,,CABO SAN LUCAS,Villa Jade de Law,Bring Your Friends! Spacious Villa with Gorge...,5.5-Star Luxury Villa,,8,8.5,22
https://www.cabovillas.com/properties.asp?PID=237,,"CABO SAN LUCAS, OCEANFRONT",Villa Gran Vista,Stunning Cliffside Ocean Views & Swim-Up Pool...,6-Star Premier Villa,,7,7.5,14
https://www.cabovillas.com/properties.asp?PID=566,,"CORRIDOR, OCEANFRONT, BEACHFRONT",Casa del Mar Punta Bella,Stunning Luxury Retreat with Exceptional Amen...,6-Star Premier Villa,,5,5.5,14
https://www.cabovillas.com/properties.asp?PID=463,,"CABO SAN LUCAS, OCEANFRONT",Villa Finisterra,Stunning Modern Villa with Spectacular Views,6+ -Star Platinum Villa,+,4,6,8
https://www.cabovillas.com/properties.asp?PID=580,,CORRIDOR,Live Aqua Private Residences,Villa Luxury & Excellent Resort Amenities,6-Star Premier Villa,,1,1,12
https://www.cabovillas.com/properties.asp?PID=615,,SAN JOSÉ DEL CABO,Villa Vista al Mar,Hacienda Style Luxury and Sea of Cortez Views,6-Star Premier Villa,,5,5+,12
https://www.cabovillas.com/properties.asp?PID=498,,CABO SAN LUCAS,Hacienda Edith,Charming Villa In Pedregal - A Great Vacation...,4-Star Deluxe Villa,,5,6,14
https://www.cabovillas.com/properties.asp?PID=558,,"SAN JOSÉ DEL CABO, OCEANFRONT, EAST CAPE, BEACHFRONT",Casa Bellamar,Gorgeous Beachfront Villa with Swim Up Bar an...,6+ -Star Platinum Villa,+,9,9.5,18
https://www.cabovillas.com/properties.asp?PID=233,,"CORRIDOR, SAN JOSÉ DEL CABO",Villa Sun Guadalupe,Enchanting Hillside Villa with Amazing Sea of...,3-Star Value Villa,,3,2,8
https://www.cabovillas.com/properties.asp?PID=206,,CORRIDOR,Villa Las Brisas,"Desirable Location, Spacious Elegance & Beaut...",5-Star Luxury Villa,,5,6,12
https://www.cabovillas.com/properties.asp?PID=618,https://www.cabovillas.com/Properties/Villas/Villa_Bella_Vista/FULL/Villa_Bella_Vista-1.jpg?width=486,CABO SAN LUCAS,Villa Bella Vista,"Gorgeous Ocean, Marina & Downtown Views",4.5-Star Deluxe Villa,,4,4.5,8
https://www.cabovillas.com/properties.asp?PID=639,https://www.cabovillas.com/Properties/Villas/Villa_Las_Palmas/FULL/Villa_Las_Palmas-1.jpg?width=486,CABO SAN LUCAS,Villa Las Palmas,Stunning Ocean-View Luxury Estate in Pedregal,6+ -Star Platinum Villa,+,7,11,18
https://www.cabovillas.com/properties.asp?PID=205,https://www.cabovillas.com/Properties/Villas/Villa_los_Geckos/FULL/Villa_los_Geckos-1.jpg?width=486,CABO SAN LUCAS,Villa los Geckos,Lush Hillside Villa with Ocean Views,3-Star Value Villa,,4,4,10
https://www.cabovillas.com/properties.asp?PID=656,https://www.cabovillas.com/Properties/Villas/Villa_Ysabel/FULL/Villa_Ysabel-1.jpg?width=486,CABO SAN LUCAS,Villa Ysabel,Remodeled Ocean-View Pedregal Escape,4.5-Star Deluxe Villa,,4,4.5,8
https://www.cabovillas.com/properties.asp?PID=668,https://www.cabovillas.com/Properties/Villas/Casa_Fatima/FULL/Casa_Fatima-1.jpg?width=486,CABO SAN LUCAS,Casa Fatima,Comfortable Retreat in Pedregal,3.5-Star Value Villa,,3,4,8
https://www.cabovillas.com/properties.asp?PID=373,https://www.cabovillas.com/Properties/Villas/Villa_Sebastian/FULL/Villa_Sebastian-1.jpg?width=486,CABO SAN LUCAS,Villa Sebastian,Modern Style & Great Ocean Views in the Pedre...,5-Star Luxury Villa,,3,3.5,10
https://www.cabovillas.com/properties.asp?PID=548,https://www.cabovillas.com/Properties/Villas/Villa_las_Arenas/FULL/Villa_las_Arenas-1.jpg?width=486,"CORRIDOR, OCEANFRONT, BEACHFRONT",Villa las Arenas,Splendid Villa with Beachfront Pool & Dazzlin...,6-Star Premier Villa,,4,4.5,8
https://www.cabovillas.com/properties.asp?PID=602,https://www.cabovillas.com/Properties/Villas/Casa_Jazmin/FULL/Casa_Jazmin-1.jpg?width=486,CORRIDOR,Casa Jazmin,Walk to the Beach & Enjoy Ocean Views,4.5-Star Deluxe Villa,,3,2.5,8
https://www.cabovillas.com/properties.asp?PID=97,https://www.cabovillas.com/Properties/Villas/Villa_Leonetti/FULL/Villa_Leonetti-1.jpg?width=486,CABO SAN LUCAS,Villa Leonetti,Panoramic Views of the Bay from This Spacious...,5.5-Star Luxury Villa,,4,5,10
https://www.cabovillas.com/properties.asp?PID=655,https://www.cabovillas.com/Properties/Villas/Casa_Micana/FULL/Casa_Micana-1.jpg?width=486,SAN JOSÉ DEL CABO,Casa Micana,Modern Luxury in Puerto Los Cabos,6-Star Premier Villa,,4,4.5,8
https://www.cabovillas.com/properties.asp?PID=282,https://www.cabovillas.com/Properties/Villas/Villa_del_Mar/FULL/Villa_del_Mar-1.jpg?width=486,CABO SAN LUCAS,Villa del Mar,Luxury Villa with Excellent Ocean Views in Pe...,6-Star Premier Villa,,7,7,15
https://www.cabovillas.com/properties.asp?PID=638,https://www.cabovillas.com/Properties/Villas/Villa_de_los_Suenos/FULL/Villa_de_los_Suenos-1.jpg?width=486,CABO SAN LUCAS,Villa de los Sueños,Elegant Ocean-View Hacienda-Style Retreat,6-Star Premier Villa,,8,10,18
https://www.cabovillas.com/properties.asp?PID=604,https://www.cabovillas.com/Properties/Villas/Villa_Vista_Vela_4101/FULL/Villa_Vista_Vela_4101-1.jpg?width=486,CABO SAN LUCAS,Villa Vista Vela 4101,Beautiful Ocean Views & Great Location,4-Star Deluxe Villa,,3,3.5,6
https://www.cabovillas.com/properties.asp?PID=609,https://www.cabovillas.com/Properties/Villas/Casa_Nolia/FULL/Casa_Nolia-1.jpg?width=486,CABO SAN LUCAS,Casa Nolia,Excellent Location & Ocean Views,4.5-Star Deluxe Villa,,3,3.5,6
https://www.cabovillas.com/properties.asp?PID=586,https://www.cabovillas.com/Properties/Villas/Garza_Blanca_3_Bedroom_Oceanfront_Penthouse/FULL/Garza_Blanca_3_Bedroom_Oceanfront_Penthouse-1.jpg?width=486,"CORRIDOR, OCEANFRONT, BEACHFRONT",Garza Blanca 3 Bedroom Oceanfront Penthouse,Modern Sophistication and All-Inclusive Luxur...,5-Star Luxury Villa,,3,3.5,8
